Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Zaid Abdul-Aziz,C,29,SEA,27,,223,35,75,.467,,,,35,75,.467,.467,16,29,.552,30,46,76,16,8,15,,29,86,abdulza01
2,Kareem Abdul-Jabbar*,C,28,LAL,82,,3379,914,1728,.529,,,,914,1728,.529,.529,447,636,.703,272,1111,1383,413,119,338,,292,2275,abdulka01
3,Alvan Adams,C,21,PHO,80,,2656,629,1341,.469,,,,629,1341,.469,.469,261,355,.735,215,512,727,450,121,116,,274,1519,adamsal01
4,Don Adams,SF,28,BUF,56,,704,67,170,.394,,,,67,170,.394,.394,40,57,.702,38,107,145,73,30,7,,128,174,adamsdo01
5,Lucius Allen,PG,28,LAL,76,,2388,461,1004,.459,,,,461,1004,.459,.459,197,254,.776,64,150,214,357,101,20,,241,1119,allenlu01
6,Dan Anderson,PG,25,POR,52,,614,88,181,.486,,,,88,181,.486,.486,51,61,.836,15,47,62,85,20,2,,58,227,anderda02
7,Jerome Anderson,SG,22,BOS,22,,126,25,45,.556,,,,25,45,.556,.556,11,16,.688,4,9,13,6,3,3,,25,61,anderje01
8,Tiny Archibald*,PG,27,KCK,78,,3184,717,1583,.453,,,,717,1583,.453,.453,501,625,.802,67,146,213,615,126,15,,169,1935,architi01
9,Jim Ard,C,27,BOS,81,,853,107,294,.364,,,,107,294,.364,.364,71,100,.710,96,193,289,48,12,36,,141,285,ardji01
10,Dennis Awtrey,C,27,PHO,74,,1376,142,304,.467,,,,142,304,.467,.467,75,109,.688,93,200,293,159,21,22,,153,359,awtrede01
11,Gus Bailey,SG,24,HOU,30,,262,28,77,.364,,,,28,77,.364,.364,14,28,.500,20,30,50,41,14,8,,33,70,bailegu01
